"VOUT_LOAD_VDD (Temp=0,VREF_LOAD=0.05) X","VOUT_LOAD_VDD (Temp=0,VREF_LOAD=0.05) Y","VOUT_LOAD_VDD (Temp=0,VREF_LOAD=0.25) X","VOUT_LOAD_VDD (Temp=0,VREF_LOAD=0.25) Y","VOUT_LOAD_VDD (Temp=0,VREF_LOAD=0.45) X","VOUT_LOAD_VDD (Temp=0,VREF_LOAD=0.45) Y","VOUT_LOAD_VDD (Temp=0,VREF_LOAD=0.65) X","VOUT_LOAD_VDD (Temp=0,VREF_LOAD=0.65) Y","VOUT_LOAD_VDD (Temp=0,VREF_LOAD=0.85) X","VOUT_LOAD_VDD (Temp=0,VREF_LOAD=0.85) Y","VOUT_LOAD_VDD (Temp=27,VREF_LOAD=0.05) X","VOUT_LOAD_VDD (Temp=27,VREF_LOAD=0.05) Y","VOUT_LOAD_VDD (Temp=27,VREF_LOAD=0.25) X","VOUT_LOAD_VDD (Temp=27,VREF_LOAD=0.25) Y","VOUT_LOAD_VDD (Temp=27,VREF_LOAD=0.45) X","VOUT_LOAD_VDD (Temp=27,VREF_LOAD=0.45) Y","VOUT_LOAD_VDD (Temp=27,VREF_LOAD=0.65) X","VOUT_LOAD_VDD (Temp=27,VREF_LOAD=0.65) Y","VOUT_LOAD_VDD (Temp=27,VREF_LOAD=0.85) X","VOUT_LOAD_VDD (Temp=27,VREF_LOAD=0.85) Y","VOUT_LOAD_VDD (Temp=125,VREF_LOAD=0.05) X","VOUT_LOAD_VDD (Temp=125,VREF_LOAD=0.05) Y","VOUT_LOAD_VDD (Temp=125,VREF_LOAD=0.25) X","VOUT_LOAD_VDD (Temp=125,VREF_LOAD=0.25) Y","VOUT_LOAD_VDD (Temp=125,VREF_LOAD=0.45) X","VOUT_LOAD_VDD (Temp=125,VREF_LOAD=0.45) Y","VOUT_LOAD_VDD (Temp=125,VREF_LOAD=0.65) X","VOUT_LOAD_VDD (Temp=125,VREF_LOAD=0.65) Y","VOUT_LOAD_VDD (Temp=125,VREF_LOAD=0.85) X","VOUT_LOAD_VDD (Temp=125,VREF_LOAD=0.85) Y","VOUT_LOAD_VDD (Temp=-55,VREF_LOAD=0.05) X","VOUT_LOAD_VDD (Temp=-55,VREF_LOAD=0.05) Y","VOUT_LOAD_VDD (Temp=-55,VREF_LOAD=0.25) X","VOUT_LOAD_VDD (Temp=-55,VREF_LOAD=0.25) Y","VOUT_LOAD_VDD (Temp=-55,VREF_LOAD=0.45) X","VOUT_LOAD_VDD (Temp=-55,VREF_LOAD=0.45) Y","VOUT_LOAD_VDD (Temp=-55,VREF_LOAD=0.65) X","VOUT_LOAD_VDD (Temp=-55,VREF_LOAD=0.65) Y","VOUT_LOAD_VDD (Temp=-55,VREF_LOAD=0.85) X","VOUT_LOAD_VDD (Temp=-55,VREF_LOAD=0.85) Y","VOUT_LOAD_VDD (Temp=-100,VREF_LOAD=0.05) X","VOUT_LOAD_VDD (Temp=-100,VREF_LOAD=0.05) Y","VOUT_LOAD_VDD (Temp=-100,VREF_LOAD=0.25) X","VOUT_LOAD_VDD (Temp=-100,VREF_LOAD=0.25) Y","VOUT_LOAD_VDD (Temp=-100,VREF_LOAD=0.45) X","VOUT_LOAD_VDD (Temp=-100,VREF_LOAD=0.45) Y","VOUT_LOAD_VDD (Temp=-100,VREF_LOAD=0.65) X","VOUT_LOAD_VDD (Temp=-100,VREF_LOAD=0.65) Y","VOUT_LOAD_VDD (Temp=-100,VREF_LOAD=0.85) X","VOUT_LOAD_VDD (Temp=-100,VREF_LOAD=0.85) Y"
1e-09,0.1375159824477317,1e-09,0.5081923645162523,1e-09,0.9051462203091531,1e-09,1.303909261711313,1e-09,1.703160734771863,1e-09,0.2507689472045824,1e-09,0.5131211055399918,1e-09,0.9077340676444847,1e-09,1.30567312825227,1e-09,1.704401778654507,1e-09,1.278340715189009,1e-09,1.278339086654106,1e-09,1.278351749645955,1e-09,1.327281474107288,1e-09,1.71616690203679,1e-09,0.1131233593669731,1e-09,0.502531010644845,1e-09,0.9015089967053652,1e-09,1.301066172430159,1e-09,1.700777232399221,1e-09,0.1069583087567353,1e-09,0.5014678429543689,1e-09,0.901099151945303,1e-09,1.300914467009603,1e-09,1.700784548797254
1.258925411794167e-09,0.1375081549721438,1.258925411794167e-09,0.5081921594990514,1.258925411794167e-09,0.9051461662935264,1.258925411794167e-09,1.303909239372398,1.258925411794167e-09,1.703160724248848,1.258925411794167e-09,0.2507343165648316,1.258925411794167e-09,0.5131206810433011,1.258925411794167e-09,0.9077339739803048,1.258925411794167e-09,1.305673088450409,1.258925411794167e-09,1.704401759819564,1.258925411794167e-09,1.278335475164743,1.258925411794167e-09,1.278335734031575,1.258925411794167e-09,1.278336434813873,1.258925411794167e-09,1.327280292941121,1.258925411794167e-09,1.716166797450751,1.258925411794167e-09,0.113121545944676,1.258925411794167e-09,0.5025309455143587,1.258925411794167e-09,0.9015089791973395,1.258925411794167e-09,1.301066164916453,1.258925411794167e-09,1.70077722844914,1.258925411794167e-09,0.1069575445835825,1.258925411794167e-09,0.5014678264123389,1.258925411794167e-09,0.901099146821169,1.258925411794167e-09,1.300914464436643,1.258925411794167e-09,1.700784549498932
1.584893192461114e-09,0.1374983103472035,1.584893192461114e-09,0.5081919014481268,1.584893192461114e-09,0.9051460982988888,1.584893192461114e-09,1.303909211176595,1.584893192461114e-09,1.703160710987079,1.584893192461114e-09,0.2506907211317975,1.584893192461114e-09,0.5131201467616987,1.584893192461114e-09,0.9077338560763502,1.584893192461114e-09,1.305673038346386,1.584893192461114e-09,1.704401736056699,1.584893192461114e-09,1.278316195170375,1.584893192461114e-09,1.278316454034175,1.584893192461114e-09,1.278317155001329,1.584893192461114e-09,1.327278806553776,1.584893192461114e-09,1.716166665791131,1.584893192461114e-09,0.1131192644299156,1.584893192461114e-09,0.5025308634974371,1.584893192461114e-09,0.9015089571583461,1.584893192461114e-09,1.301066155445574,1.584893192461114e-09,1.700777223475601,1.584893192461114e-09,0.1069565833993497,1.584893192461114e-09,0.5014678055865921,1.584893192461114e-09,0.9010991401590579,1.584893192461114e-09,1.300914461195844,1.584893192461114e-09,1.700784547695324
1.99526231496888e-09,0.1374859318580248,1.99526231496888e-09,0.5081915766431117,1.99526231496888e-09,0.9051460127073254,1.99526231496888e-09,1.303909175682678,1.99526231496888e-09,1.703160694292375,1.99526231496888e-09,0.2506358389847477,1.99526231496888e-09,0.5131194742980071,1.99526231496888e-09,0.9077337076591386,1.99526231496888e-09,1.305672975273511,1.99526231496888e-09,1.704401706142643,1.99526231496888e-09,1.278291923742021,1.99526231496888e-09,1.278292182612393,1.99526231496888e-09,1.278292883669829,1.99526231496888e-09,1.327276936491327,1.99526231496888e-09,1.716166500050974,1.99526231496888e-09,0.1131163944659231,1.99526231496888e-09,0.5025307602636326,1.99526231496888e-09,0.9015089294157189,1.99526231496888e-09,1.301066143523244,1.99526231496888e-09,1.700777217214595,1.99526231496888e-09,0.1069553743847449,1.99526231496888e-09,0.5014677793731243,1.99526231496888e-09,0.9010991317727417,1.99526231496888e-09,1.300914457116172,1.99526231496888e-09,1.700784545424855
2.511886431509581e-09,0.1374703722336798,2.511886431509581e-09,0.5081911678358275,2.511886431509581e-09,0.9051459049675914,2.511886431509581e-09,1.303909131002456,2.511886431509581e-09,1.703160673276391,2.511886431509581e-09,0.2505667492012514,2.511886431509581e-09,0.5131186281098716,2.511886431509581e-09,0.9077335208368777,2.511886431509581e-09,1.305672895876377,2.511886431509581e-09,1.704401668485644,2.511886431509581e-09,1.278261368639535,2.511886431509581e-09,1.278261627517908,2.511886431509581e-09,1.278262328689064,2.511886431509581e-09,1.327274583116677,2.511886431509581e-09,1.716166291411528,2.511886431509581e-09,0.1131127850238599,2.511886431509581e-09,0.5025306303306784,2.511886431509581e-09,0.9015088944942972,2.511886431509581e-09,1.301066128515185,2.511886431509581e-09,1.700777209332942,2.511886431509581e-09,0.1069538539786482,2.511886431509581e-09,0.5014677463796049,2.511886431509581e-09,0.9010991212162253,2.511886431509581e-09,1.300914451980579,2.511886431509581e-09,1.700784542566676
3.16227766016838e-09,0.1374508217070211,3.16227766016838e-09,0.5081906533332201,3.16227766016838e-09,0.9051457693529279,3.16227766016838e-09,1.303909074759669,3.16227766016838e-09,1.703160646821051,3.16227766016838e-09,0.2504797746760918,3.16227766016838e-09,0.5131175631185471,3.16227766016838e-09,0.907733285679488,3.16227766016838e-09,1.305672795932243,3.16227766016838e-09,1.704401621082359,3.16227766016838e-09,1.278222903333036,3.16227766016838e-09,1.278223162224651,3.16227766016838e-09,1.27822386353822,3.16227766016838e-09,1.327271622359704,3.16227766016838e-09,1.716166028773861,3.16227766016838e-09,0.1131082467452907,3.16227766016838e-09,0.502530466803417,3.16227766016838e-09,0.9015088505379385,3.16227766016838e-09,1.301066109623158,3.16227766016838e-09,1.700777199411308,3.16227766016838e-09,0.1069519440333999,3.16227766016838e-09,0.5014677048547554,3.16227766016838e-09,0.9010991079282972,3.16227766016838e-09,1.300914445515891,3.16227766016838e-09,1.700784538968713
3.981071705534974e-09,0.1374262688661637,3.981071705534974e-09,0.5081900060017736,3.981071705534974e-09,0.9051455986584732,3.981071705534974e-09,1.303909003964147,3.981071705534974e-09,1.703160613519259,3.981071705534974e-09,0.2503702871336389,3.981071705534974e-09,0.5131162230253404,3.981071705534974e-09,0.9077329896939236,3.981071705534974e-09,1.305672670127365,3.981071705534974e-09,1.704401561411594,3.981071705534974e-09,1.278174480429798,3.981071705534974e-09,1.278174739333782,3.981071705534974e-09,1.278175440828135,3.981071705534974e-09,1.327267898099643,3.981071705534974e-09,1.716165698170387,3.981071705534974e-09,0.11310254246503,3.981071705534974e-09,0.5025302610118426,3.981071705534974e-09,0.9015087952114034,3.981071705534974e-09,1.301066085842677,3.981071705534974e-09,1.700777186921937,3.981071705534974e-09,0.1069495426574345,3.981071705534974e-09,0.5014676525963373,3.981071705534974e-09,0.9010990912028648,3.981071705534974e-09,1.300914437378349,3.981071705534974e-09,1.700784534439575
5.011872336272725e-09,0.1373954530348056,5.011872336272725e-09,0.508189191352644,5.011872336272725e-09,0.9051453838211797,5.011872336272725e-09,1.303908914853647,5.011872336272725e-09,1.703160571600348,5.011872336272725e-09,0.2502324614323075,5.011872336272725e-09,0.5131145369794313,5.011872336272725e-09,0.9077326171653233,5.011872336272725e-09,1.305672511775872,5.011872336272725e-09,1.704401486300755,5.011872336272725e-09,1.278113522849353,5.011872336272725e-09,1.27811378176999,5.011872336272725e-09,1.278114483490724,5.011872336272725e-09,1.327263214457856,5.011872336272725e-09,1.716165282025099,5.011872336272725e-09,0.1130953755387609,5.011872336272725e-09,0.5025300020576122,5.011872336272725e-09,0.9015087255772378,5.011872336272725e-09,1.301066055909851,5.011872336272725e-09,1.700777171200691,5.011872336272725e-09,0.1069465263137989,5.011872336272725e-09,0.501467586835814,5.011872336272725e-09,0.9010990701516708,5.011872336272725e-09,1.300914427135404,5.011872336272725e-09,1.70078452873841
6.309573444801935e-09,0.1373568068911274,6.309573444801935e-09,0.508188166413872,6.309573444801935e-09,0.905145113443097,6.309573444801935e-09,1.303908802695166,6.309573444801935e-09,1.703160518836386,6.309573444801935e-09,0.2500589664924305,6.309573444801935e-09,0.5131124160062559,6.309573444801935e-09,0.9077321483303202,6.309573444801935e-09,1.305672312466673,6.309573444801935e-09,1.704401391757995,6.309573444801935e-09,1.278036786940587,6.309573444801935e-09,1.278037045883649,6.309573444801935e-09,1.278037747889669,6.309573444801935e-09,1.327257325889161,6.309573444801935e-09,1.716164758224031,6.309573444801935e-09,0.1130863755466573,6.309573444801935e-09,0.5025296762467667,6.309573444801935e-09,0.901508637941241,6.309573444801935e-09,1.301066018234623,6.309573444801935e-09,1.700777151411902,6.309573444801935e-09,0.1069427397077275,6.309573444801935e-09,0.5014675040940361,6.309573444801935e-09,0.9010990436575131,6.309573444801935e-09,1.300914414242853,6.309573444801935e-09,1.700784521562151
7.943282347242819e-09,0.1373083882244153,7.943282347242819e-09,0.5081868771113535,7.943282347242819e-09,0.9051447731935195,7.943282347242819e-09,1.303908661535594,7.943282347242819e-09,1.703160452424457,7.943282347242819e-09,0.2498405767859467,7.943282347242819e-09,0.5131097484430709,7.943282347242819e-09,0.9077315584795435,7.943282347242819e-09,1.305672061620197,7.943282347242819e-09,1.70440127276133,7.943282347242819e-09,1.277940190298315,7.943282347242819e-09,1.277940449269372,7.943282347242819e-09,1.277941151633892,7.943282347242819e-09,1.327249924929048,7.943282347242819e-09,1.716164098947743,7.943282347242819e-09,0.1130750809235281,7.943282347242819e-09,0.5025292663810882,7.943282347242819e-09,0.9015085276587579,7.943282347242819e-09,1.301065970816935,7.943282347242819e-09,1.700777126504171,7.943282347242819e-09,0.1069379895905568,7.943282347242819e-09,0.5014674000008378,7.943282347242819e-09,0.9010990103155796,7.943282347242819e-09,1.300914398016143,7.943282347242819e-09,1.700784512529487
